Rank,Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
1,Logistic Regression (Baseline),0.7263681592039801,0.4909090909090909,0.7941176470588235,0.6067415730337079,0.8353130128228357
2,Logistic Regression (Tuned),0.7249466950959488,0.48929159802306427,0.7941176470588235,0.6055045871559633,0.8354191364128156
3,Random Forest (Tuned),0.7547974413646056,0.5259391771019678,0.786096256684492,0.6302250803858521,0.8365153154459002
4,Random Forest (Baseline),0.7739872068230277,0.5648148148148148,0.6524064171122995,0.6054590570719603,0.8220669769271786
